blockNumber,blockHash,timestamp,from,to,value,gas,gasPrice,txHash,txType
70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0x5a3f81b952011a8e75757fa4fc524e113a7d28ae,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0xc2d57c4bcfb4350a223c3766abf5f6ba653d8db39a53dd5688975dcaba668614,TxTypeFeeDelegatedSmartContractExecution

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0x3d564657a771adb36007d1ce23395ba87c92e4c0,null,null,0x13948,0x5d21dba00,0x7a9d90f6a9dc2d69b21812329732900a4d0d96f77e1bf64087eee7a886dda4ac,TxTypeFeeDelegatedChainDataAnchoring

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0xaa151e8e217f68b5ebbbc6032ed19f7a2c4d0b9a,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0x8a49c73363f019d68beb5ebac84405517b9392ee96d78c78577484c6de2de98e,TxTypeFeeDelegatedSmartContractExecution

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,null,null,null,null,null,null,null

70000006,0x28e4ed128db8d3454373c5ab9e66c2118674fc49c9e8275a94ed4a25bad2ee2c,0x61421d52,0xde0934cd4abba91716b3c381875e7e51944c1a10,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0xbd6f80c19b081f411935ea296be1e476ac2b4dd37c33d4469f523f9fb37f097a,TxTypeFeeDelegatedSmartContractExecution

70000006,0x28e4ed128db8d3454373c5ab9e66c2118674fc49c9e8275a94ed4a25bad2ee2c,0x61421d52,0x39a3a9fbe02aa990f584241ec25942aa01d7609f,0xc6a2ad8cc6e4a7e08fc37cc5954be07d499e7654,0x0,0x70953,0x5d21dba00,0xeef7e5800aca840e97e000ae9d385709c068f1deed97b3604f50066af3e1ffea,TxTypeSmartContractExecution

70000006,0x28e4ed128db8d3454373c5ab9e66c2118674fc49c9e8275a94ed4a25bad2ee2c,0x61421d52,0x3a285bb6497ea2a1e4ec35492417eb561806849d,0x5096db80b21ef45230c9e423c373f1fc9c0198dd,0x0,0x12ead,0x5d21dba00,0x02a611218e19da59e61342379917e41d0ba6232dc48982243b1529fea84323a9,TxTypeLegacyTransaction

70000006,0x28e4ed128db8d3454373c5ab9e66c2118674fc49c9e8275a94ed4a25bad2ee2c,0x61421d52,null,null,null,null,null,null,null

70000007,0x04e7afbfd7bc8819df6a015e7e982229455bf0f8f94f2a8a02db0168d65c3441,0x61421d53,0xc4e36df6f74d180867703cb89ffe99e3273302dd,0x2f3713f388bc4b8b364a7a2d8d57c5ff4e054830,0x0,0x5f5e100,0x5d21dba00,0xf4bcbb98deccef0f842911a9e9d5c271cb19436d4ada8297e53d51c66ba714e9,TxTypeFeeDelegatedSmartContractExecution

70000007,0x04e7afbfd7bc8819df6a015e7e982229455bf0f8f94f2a8a02db0168d65c3441,0x61421d53,0x6d69a0b8f27ae92bfcb0fff0117d6abaa563a9ca,0x196eb94ce9337c27fd69e3960f88da28a12469e5,0x0,0x12dafc,0x5d21dba00,0x34d0e71366027bb057a0943f3bd43b8f793f4170fcc5eb8f68db5605feef6fb8,TxTypeSmartContractExecution

70000007,0x04e7afbfd7bc8819df6a015e7e982229455bf0f8f94f2a8a02db0168d65c3441,0x61421d53,0x9ceda95ab840a5b546b9d828e27d4a94d6eb3ecf,0x3513b2bc58f1f260107fd1ee0dabb5b0637b9ed5,0x0,0xf4240,0x5d21dba00,0x5abfa6d64d8822bb66fe16cca1b0327896f2fbbbddac0d358670bb796b7c38a6,TxTypeSmartContractExecution

70000007,0x04e7afbfd7bc8819df6a015e7e982229455bf0f8f94f2a8a02db0168d65c3441,0x61421d53,0xcccccccc6d5f77db86097b3cb52356744e5e7fa2,0xba7114d877d85699a3d7e3a69a9e9f04aa42b5d3,0x0,0x1312d00,0x5d21dba00,0x517c867a3609defadd245fb123ed301a846c4e448544b61b746afb3595a097d3,TxTypeLegacyTransaction

70000007,0x04e7afbfd7bc8819df6a015e7e982229455bf0f8f94f2a8a02db0168d65c3441,0x61421d53,0x86d2660297c82ac656715e00c979fb5ca65eecc5,0x27c2300b93fc893fa4a4b0277f681d61ed6fc705,0x1bafa9ee16e78000,0x5208,0x5d21dba00,0x27972b4742c65c6549e586861ec45df0ab34d8c83c897ba5ad72599ff9cde552,TxTypeLegacyTransaction

70000007,0x04e7afbfd7bc8819df6a015e7e982229455bf0f8f94f2a8a02db0168d65c3441,0x61421d53,null,null,null,null,null,null,null

70000008,0x71adfa358a1dfdbba7a6a30d7c8167f2c5cb1cdc4a58cb402dd62c989d7113ad,0x61421d54,0x13e18883c7118738d77cfda183ffe1d62adf2433,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0xb227e398cc76df92d84260ea4e942476ae040cc3223159b3f4e4c54e21de11fc,TxTypeFeeDelegatedSmartContractExecution

70000008,0x71adfa358a1dfdbba7a6a30d7c8167f2c5cb1cdc4a58cb402dd62c989d7113ad,0x61421d54,0x6012bc70954c050119c931e1010e6e8f9e6441fb,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0x805e375ada2b9fd910573cc31e136f6b91ab9bbaec40b8a119d843bdddb7b2f7,TxTypeFeeDelegatedSmartContractExecution

70000008,0x71adfa358a1dfdbba7a6a30d7c8167f2c5cb1cdc4a58cb402dd62c989d7113ad,0x61421d54,0xde30c3292236e2c4723fa27ce2bd7cf686c36851,0xfb193104052446709612d410a030227da96d08b2,0x0,0x7a120,0x5d21dba00,0x261f960c1c4982a3f36dddcc4fe0d0a34b37222abc191ae94c0e410a89c6dbc1,TxTypeSmartContractExecution

70000008,0x71adfa358a1dfdbba7a6a30d7c8167f2c5cb1cdc4a58cb402dd62c989d7113ad,0x61421d54,0xa3bcbb4f68534895fcb4a4a3c08d021f0089c3af,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0x13b9b04983593a0def0c5f97dc85ca8c566fd082034ab5f91a9af0f42ee51c97,TxTypeFeeDelegatedSmartContractExecution

70000008,0x71adfa358a1dfdbba7a6a30d7c8167f2c5cb1cdc4a58cb402dd62c989d7113ad,0x61421d54,0x798ba5014626774e0276d75ef9c7ecae18efa628,0x3cb3890004e8f5a6885c1d8d359e8c2946b504f3,0x0,0x5f5e100,0x5d21dba00,0xbb2e56e08e83439984ccad1e07320cb9aea716093faf1d22d91073f36c2104de,TxTypeFeeDelegatedSmartContractExecution

70000008,0x71adfa358a1dfdbba7a6a30d7c8167f2c5cb1cdc4a58cb402dd62c989d7113ad,0x61421d54,0xb5bb15e6200f8c50cd28b16729c4a40abb7bf9f0,0x3cb3890004e8f5a6885c1d8d359e8c2946b504f3,0x0,0x5f5e100,0x5d21dba00,0xef41c77d3a134e535ab5d8acc90a3908dd7d451fc491eb31f1d7c35587473a5f,TxTypeFeeDelegatedSmartContractExecution

70000008,0x71adfa358a1dfdbba7a6a30d7c8167f2c5cb1cdc4a58cb402dd62c989d7113ad,0x61421d54,0xabb17020f8640218f423682fd3d7eeb45fd720db,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0xfc69566412ca5f9f51c7a98af1d1233fcaeee1f52103efeacae598f8d4902726,TxTypeFeeDelegatedSmartContractExecution

70000008,0x71adfa358a1dfdbba7a6a30d7c8167f2c5cb1cdc4a58cb402dd62c989d7113ad,0x61421d54,null,null,null,null,null,null,null
